gender,time_to_click,time_to_fall
BOTH,2.4937500000000004,6.7950591656064
FEMALE,2.622,6.1488200710511
MALE,2.2016254545454546,7.2991396448345
NOT_KNOW,1.6963846153846154,7.5175383540642
BOTH,1.9394545454545453,7.6599959931893
FEMALE,2.6310000000000002,7.3664339798221
MALE,2.2288722627737223,7.7956346465017
NOT_KNOW,1.7522142857142857,7.0101316077772
BOTH,1.4897777777777779,7.3026735170165
FEMALE,2.662894736842105,6.3130936113534
MALE,2.2012983870967724,7.2280875306695
NOT_KNOW,1.9942222222222223,6.1103239600303
BOTH,1.54375,7.6229863081734
FEMALE,2.6637999999999997,6.3899031941801
MALE,2.240570093457943,7.0632055155196
NOT_KNOW,1.473909090909091,7.7274447727065
BOTH,1.9683846153846152,7.0958733344301
FEMALE,2.3396923076923075,7.1611919815036
MALE,2.0361792828685275,7.2469391022207
NOT_KNOW,1.9088181818181817,7.0462415291639
BOTH,2.207,6.8023143594171
FEMALE,2.3973333333333335,7.4720817893766
MALE,2.206337164750958,7.4514720083577
NOT_KNOW,1.5591666666666668,6.1186175010411
BOTH,1.9080000000000001,6.7307392942724
FEMALE,2.58,7.2764334152957
MALE,2.168017021276597,6.1576471802882
NOT_KNOW,1.5067777777777778,7.4359317772181
BOTH,1.9583000000000002,7.1136654010927
FEMALE,2.441357142857143,6.9496250553057
MALE,2.230066945606694,7.8735385102865
NOT_KNOW,1.7993999999999999,6.5046929096359
BOTH,1.9531428571428575,7.3927114359316
FEMALE,2.841333333333333,6.2030298218413
MALE,2.212264317180617,6.6845599421064
NOT_KNOW,1.9278571428571427,6.6484413411218
BOTH,1.6634,6.9033448759758
FEMALE,2.4753333333333334,6.8048970461554
MALE,2.116682819383259,6.1866885891211
NOT_KNOW,1.853,7.2235597834694
BOTH,1.6732,7.3189896555139
FEMALE,2.5382499999999997,6.6118468168116
MALE,2.129049429657795,7.3223190434557
NOT_KNOW,1.6421,7.1757732654165
BOTH,1.9106666666666667,7.6746923926972
FEMALE,2.858571428571428,7.451463668892
MALE,2.1594493927125513,6.5209287879195
NOT_KNOW,1.6476428571428572,7.0339404172789
BOTH,1.7358888888888886,7.4656302303829
FEMALE,2.9247999999999994,7.4272024172709
MALE,2.1933918367346923,7.1641754577379
NOT_KNOW,1.8417499999999996,6.4272913406055
