fav_game_type,time_to_click,time_to_fall
RPG,1.9881707317073172,6.6977428844906
RTS,1.9227272727272728,7.2876725274567
SANDBOX,2.0208461538461537,7.0636834173565
SIMULATION,2.2277083333333336,7.825732445002
STORY_RICH,2.4846666666666666,7.029588317731
SURVIVAL,1.6814615384615388,7.784891654215
ACTION,2.4309344262295083,7.4938482488223
FPS,2.2983888888888884,6.958844602586
HACK_AND_SLASH,2.7093333333333334,6.9297231101899
HORROR,3.598,6.8849728349414
LOGIC,2.245375,7.4339348644387
MMO,2.7704444444444447,7.1112095540073
PLATFORM,2.0066,7.0727296434857
RPG,2.2590750000000006,7.2390589945794
RTS,2.3684,7.6122318987966
SANDBOX,1.9603902439024392,6.9929071735528
SIMULATION,2.2018529411764707,5.9107757635041
STORY_RICH,2.125875,7.7541455292732
SURVIVAL,2.2293714285714286,6.6253313877953
ACTION,2.495737704918033,6.2959613301032
FPS,2.2235714285714283,7.2688947596919
HACK_AND_SLASH,2.4894999999999996,7.3152621962598
HORROR,2.8105,6.7652429057435
LOGIC,1.8524545454545454,7.5296913929091
MMO,2.3915,7.6239072851429
PLATFORM,2.456857142857143,7.1664381702322
RPG,2.265102564102564,7.3175577291636
RTS,1.5075,7.3783463606999
SANDBOX,1.9856216216216218,7.1096036796922
SIMULATION,2.207277777777778,6.0189214707787
STORY_RICH,2.3995,7.3123038320095
SURVIVAL,1.8480000000000005,7.4550869669406
ACTION,2.363057971014492,6.1544513560556
FPS,1.9378421052631576,7.8057167162036
HACK_AND_SLASH,1.989,7.875680130872
HORROR,2.97,7.0722988545268
LOGIC,2.098130434782608,7.7547072226432
MMO,2.891090909090909,7.0969644226493
PLATFORM,2.783,7.8859092810551
RPG,2.3497714285714286,6.5061848622822
RTS,2.3400000000000003,7.1205721184378
SANDBOX,1.8758039215686269,7.8802989860832
SIMULATION,2.0249696969696966,6.2575177323568
STORY_RICH,2.554555555555556,6.2806640610845
SURVIVAL,1.943818181818182,7.8780731973534
ACTION,2.222569230769231,6.6963425022201
FPS,2.561851851851852,7.675032764037
HACK_AND_SLASH,2.214,7.2693573976803
HORROR,2.967333333333333,6.3499084759806
LOGIC,2.414277777777778,7.4651916962743
MMO,2.298,7.5473843395627
PLATFORM,2.2840000000000007,6.8363963217929
RPG,1.9607741935483873,6.600710710504
RTS,2.472888888888889,6.6495542505067
SANDBOX,1.9466666666666663,7.3523039437131
SIMULATION,2.1651666666666665,7.3395483747133
STORY_RICH,2.3114,7.434931114238
SURVIVAL,2.0991428571428568,7.4178259647794
ACTION,2.4357068965517246,6.4408716544021
FPS,2.2868888888888885,7.3905281779319
HACK_AND_SLASH,2.225,7.041031429849
HORROR,2.707,6.2612859330333
LOGIC,2.3854210526315787,7.3059886665395
MMO,2.1011666666666664,6.939440310478
PLATFORM,2.3393333333333337,6.85972141193
RPG,2.2305625000000004,6.2422007654277
RTS,2.020285714285714,7.0772174710253
SANDBOX,1.8442682926829268,6.2455510653274
SIMULATION,2.5293478260869566,7.2078285240693
