fav_game_type,time_to_click,square_size
ACTION,2.279621621621621,82
FPS,2.246894736842105,82
HACK_AND_SLASH,1.68,82
HORROR,3.529,82
LOGIC,1.7139090909090908,82
MMO,2.4120999999999997,82
PLATFORM,2.6395714285714287,82
RPG,2.1928292682926824,82
RTS,1.9881666666666664,82
SANDBOX,2.024435897435898,82
SIMULATION,2.1625555555555556,82
STORY_RICH,2.1101428571428573,82
SURVIVAL,2.187714285714286,82
ACTION,2.323556962025315,83
FPS,2.000695652173913,83
HACK_AND_SLASH,2.341666666666667,83
HORROR,2.7306666666666666,83
LOGIC,2.247222222222222,83
MMO,2.2212499999999995,83
PLATFORM,2.931285714285714,83
RPG,2.047595238095237,83
RTS,2.6140769230769227,83
SANDBOX,1.916279069767442,83
SIMULATION,2.2225200000000003,83
STORY_RICH,2.64975,83
SURVIVAL,2.07071875,83
ACTION,2.3550769230769224,84
FPS,2.4013333333333327,84
HACK_AND_SLASH,2.368,84
HORROR,2.8160000000000003,84
LOGIC,2.3017333333333334,84
MMO,2.734,84
PLATFORM,2.234,84
RPG,1.9595000000000002,84
RTS,2.6447777777777777,84
SANDBOX,1.90171186440678,84
SIMULATION,2.430354838709677,84
STORY_RICH,2.315,84
SURVIVAL,1.9157499999999998,84
ACTION,2.4322840909090924,85
FPS,2.09212,85
HACK_AND_SLASH,3.664,85
HORROR,3.248142857142857,85
LOGIC,2.287818181818182,85
MMO,2.93025,85
PLATFORM,2.3478000000000003,85
RPG,2.1197241379310343,85
RTS,2.202444444444444,85
SANDBOX,1.7539285714285715,85
SIMULATION,1.8974210526315787,85
STORY_RICH,2.3143636363636366,85
SURVIVAL,1.950782608695652,85
ACTION,2.269050000000001,86
FPS,2.4041333333333332,86
HACK_AND_SLASH,2.3964999999999996,86
HORROR,3.443,86
LOGIC,2.171692307692308,86
MMO,2.6177777777777775,86
PLATFORM,2.0575,86
RPG,1.9447241379310343,86
RTS,2.2995454545454543,86
SANDBOX,1.8306956521739137,86
SIMULATION,2.530826086956522,86
STORY_RICH,2.5355714285714286,86
SURVIVAL,2.123958333333333,86
ACTION,2.1401159420289857,87
FPS,2.187291666666667,87
HACK_AND_SLASH,3.148,87
HORROR,3.21625,87
LOGIC,1.7030476190476191,87
MMO,1.9748750000000002,87
PLATFORM,2.264,87
RPG,2.0825624999999994,87
RTS,2.1692,87
SANDBOX,1.84139534883721,87
SIMULATION,2.0083928571428573,87
STORY_RICH,2.060571428571429,87
SURVIVAL,1.9476923076923076,87
ACTION,2.390361445783132,88
FPS,2.1263809523809525,88
HACK_AND_SLASH,2.098,88
HORROR,2.589,88
LOGIC,1.9129999999999996,88
MMO,2.270666666666666,88
PLATFORM,2.980857142857143,88
RPG,2.0816666666666666,88
RTS,2.155181818181818,88
SANDBOX,2.0192051282051278,88
SIMULATION,2.173294117647059,88
STORY_RICH,2.4166250000000002,88
SURVIVAL,2.0409117647058825,88
ACTION,2.447232876712328,89
FPS,2.0538235294117646,89
HACK_AND_SLASH,2.6795,89
HORROR,2.7672499999999998,89
LOGIC,1.605866666666667,89
MMO,3.1875,89
PLATFORM,2.7194,89
RPG,2.1015897435897437,89
RTS,2.2741999999999996,89
SANDBOX,1.8758913043478254,89
SIMULATION,2.172066666666667,89
STORY_RICH,2.4905,89
SURVIVAL,1.9243,89
ACTION,2.434626865671641,90
FPS,2.1104814814814814,90
HACK_AND_SLASH,2.093,90
HORROR,2.69325,90
LOGIC,1.80025,90
MMO,3.02825,90
PLATFORM,2.5158750000000003,90
RPG,2.1386041666666666,90
RTS,3.0772500000000003,90
SANDBOX,1.895292682926829,90
SIMULATION,2.421296296296296,90
STORY_RICH,2.315,90
SURVIVAL,1.8701428571428573,90
ACTION,2.3351323529411765,91
FPS,2.5086,91
HACK_AND_SLASH,1.546,91
HORROR,3.101,91
LOGIC,1.6866428571428569,91
MMO,2.3974285714285712,91
PLATFORM,2.189666666666667,91
RPG,2.057046511627907,91
RTS,2.652111111111111,91
SANDBOX,1.9122790697674417,91
SIMULATION,2.3502105263157897,91
STORY_RICH,2.81,91
SURVIVAL,2.0836249999999996,91
ACTION,2.181929577464788,92
FPS,2.1523157894736844,92
HACK_AND_SLASH,2.496,92
HORROR,3.0876,92
LOGIC,1.9378888888888892,92
MMO,2.0501666666666667,92
PLATFORM,1.8712,92
RPG,2.192891891891892,92
RTS,2.6220000000000003,92
SANDBOX,1.9059166666666665,92
SIMULATION,2.4898333333333333,92
STORY_RICH,1.9916250000000002,92
SURVIVAL,1.8377000000000003,92
ACTION,2.111507692307692,93
FPS,2.17144,93
HACK_AND_SLASH,2.138,93
HORROR,3.1769999999999996,93
LOGIC,2.1389047619047616,93
MMO,1.9924615384615383,93
PLATFORM,2.1225454545454543,93
RPG,2.0919677419354836,93
RTS,2.4457999999999998,93
SANDBOX,1.8490327868852456,93
SIMULATION,2.29995,93
STORY_RICH,2.251125,93
SURVIVAL,2.1244857142857136,93
ACTION,2.4333764705882337,94
FPS,2.1400434782608704,94
HACK_AND_SLASH,2.9416666666666664,94
HORROR,3.394875,94
LOGIC,1.7884,94
MMO,2.4707,94
PLATFORM,2.7418333333333336,94
RPG,1.8252500000000005,94
RTS,2.105888888888889,94
SANDBOX,1.6660392156862747,94
SIMULATION,2.3220416666666663,94
STORY_RICH,2.528538461538461,94
SURVIVAL,1.8661999999999999,94
ACTION,2.296865853658536,95
FPS,2.5222857142857142,95
HACK_AND_SLASH,1.947,95
HORROR,3.457222222222222,95
LOGIC,1.9403333333333335,95
MMO,2.113285714285714,95
PLATFORM,2.4133636363636364,95
RPG,2.05109375,95
RTS,2.4896666666666665,95
SANDBOX,1.9843999999999997,95
SIMULATION,2.2920869565217394,95
STORY_RICH,2.5857777777777775,95
SURVIVAL,1.7462121212121213,95
