work_type,time_to_click,time_to_fall
BURNT_OUT,1.7295,6.2249846267497
MENTAL,2.501882352941177,7.825732445002
MIXED,2.579,6.9111880402886
PHYSICAL,1.655,7.3604007693655
STUDENT,2.0438181818181826,7.2876725274567
WORKING_STUDENT_MENTAL,2.2039081632653073,7.2078842126893
WORKING_STUDENT_PHYSICAL,2.902571428571428,7.4013167831676
BURNT_OUT,1.7597058823529412,7.0293500789946
MENTAL,2.534808219178082,5.9107757635041
MIXED,2.2720000000000002,6.6830708948898
PHYSICAL,3.162,6.545296005952
STUDENT,2.2214226804123713,7.6122318987966
WORKING_STUDENT_MENTAL,2.223010526315789,7.4626222209813
WORKING_STUDENT_PHYSICAL,2.1706,7.1916975469142
BURNT_OUT,2.1471052631578953,6.950233168945
MENTAL,2.342160714285714,6.0189214707787
MIXED,1.9267499999999997,6.7671781484681
STUDENT,2.1714691358024685,7.3783463606999
WORKING_STUDENT_MENTAL,2.256558441558442,7.3911287861195
WORKING_STUDENT_PHYSICAL,1.9772499999999997,7.3999282980567
BURNT_OUT,1.7795909090909092,7.1124892189602
MENTAL,2.37574025974026,6.2575177323568
MIXED,2.0106,7.542013558312
PHYSICAL,2.5309999999999997,7.8523757447038
STUDENT,2.070917525773195,7.1205721184378
WORKING_STUDENT_MENTAL,2.2410206185567,7.172254691361
WORKING_STUDENT_PHYSICAL,2.3845,6.1716113926063
BURNT_OUT,1.8511923076923074,7.0403390614029
MENTAL,2.256086956521739,7.3395483747133
MIXED,2.539,7.5646508390574
STUDENT,2.1992403846153854,6.6495542505067
WORKING_STUDENT_MENTAL,2.1982906976744196,7.2700190655531
WORKING_STUDENT_PHYSICAL,2.4836666666666667,7.2605628802491
BURNT_OUT,1.6451363636363638,7.1914081708737
MENTAL,2.4877968750000004,7.2078285240693
MIXED,1.8897499999999998,7.2839322164066
PHYSICAL,5.058,7.0960661450834
STUDENT,2.0077682926829272,7.0772174710253
WORKING_STUDENT_MENTAL,2.311712643678161,7.1978482453724
WORKING_STUDENT_PHYSICAL,2.6795999999999998,7.0939180666553
BURNT_OUT,1.9223809523809523,7.5485956477089
MENTAL,2.4738307692307693,7.6692528986496
MIXED,2.4845,6.6171709067249
PHYSICAL,3.161,7.4894436351278
STUDENT,1.9973661971830985,7.6778881921443
WORKING_STUDENT_MENTAL,2.290819148936171,6.7329809497384
WORKING_STUDENT_PHYSICAL,2.6475714285714282,6.7221563349875
BURNT_OUT,1.6634285714285713,7.2185994805795
MENTAL,2.4642500000000016,7.8703228551187
PHYSICAL,4.609,7.270234509168
STUDENT,2.1514361702127665,6.9641718943151
WORKING_STUDENT_MENTAL,1.9797865168539328,7.8277483120284
WORKING_STUDENT_PHYSICAL,2.4535,6.6604332990918
BURNT_OUT,1.9684583333333332,6.8427315023772
MENTAL,2.4222972972972983,7.8599352621546
MIXED,2.093,7.336619204815
STUDENT,1.9744146341463416,7.6674996315474
WORKING_STUDENT_MENTAL,2.3313666666666673,7.0092538038114
WORKING_STUDENT_PHYSICAL,2.228,7.5336005850515
BURNT_OUT,1.8324500000000001,7.2168437021111
MENTAL,2.488257142857144,6.7838167361844
MIXED,2.1170000000000004,6.8634276379978
PHYSICAL,3.906,6.7128191135572
STUDENT,2.0095578947368424,7.8421860937695
WORKING_STUDENT_MENTAL,2.180208791208791,6.8045221383223
WORKING_STUDENT_PHYSICAL,2.172333333333333,6.8568975501682
BURNT_OUT,1.7525769230769228,6.8336515787614
MENTAL,2.22942372881356,6.6366742950294
MIXED,2.901,6.0858274393513
PHYSICAL,3.7487500000000002,6.8813253429744
STUDENT,2.246393258426967,7.6334042615846
WORKING_STUDENT_MENTAL,2.246182795698924,7.0106666241663
WORKING_STUDENT_PHYSICAL,2.6372000000000004,7.3361813125469
BURNT_OUT,1.8471052631578946,6.6979880914854
MENTAL,2.5372405063291135,6.6262038915955
MIXED,2.108,7.5649342056441
PHYSICAL,3.7645,7.4792182482794
STUDENT,2.1143636363636356,7.745350182248
WORKING_STUDENT_MENTAL,2.226641025641026,7.6292686525822
WORKING_STUDENT_PHYSICAL,2.336125,6.808458918969
BURNT_OUT,1.7351176470588234,7.6748929371805
MENTAL,2.433065573770492,7.1213732107586
MIXED,2.444571428571429,7.363845308342
PHYSICAL,3.545,7.4484494783939
STUDENT,2.0582168674698798,7.4610594691129
WORKING_STUDENT_MENTAL,2.2983529411764705,7.5596162862368
WORKING_STUDENT_PHYSICAL,2.1632,7.3110511708647
BURNT_OUT,1.7110400000000003,7.868338090771
MENTAL,2.350283783783784,7.3800482315535
MIXED,2.3014,7.4376706937281
PHYSICAL,3.194,7.6255861708868
STUDENT,2.1500757575757574,7.1009901408006
WORKING_STUDENT_MENTAL,2.3527040816326528,6.9148029995587
WORKING_STUDENT_PHYSICAL,2.5985,6.2117535273553
BURNT_OUT,1.80285,7.7030776693677
MENTAL,2.306527027027027,7.6525199143252
MIXED,1.7225,7.1696410615602
PHYSICAL,2.089,7.4808523417852
STUDENT,2.0777446808510636,7.630393300456
WORKING_STUDENT_MENTAL,2.1480729166666666,7.4735815246682
WORKING_STUDENT_PHYSICAL,2.863666666666667,6.6499832780267
BURNT_OUT,1.7014090909090909,6.800183591013
MENTAL,2.3903230769230768,6.3829816287298
MIXED,2.211,7.3182826590987
PHYSICAL,4.286,7.8527839832449
STUDENT,2.093485436893204,6.9502897886474
WORKING_STUDENT_MENTAL,2.405802469135803,4.875339795142
WORKING_STUDENT_PHYSICAL,2.4638333333333335,7.496112042366
BURNT_OUT,1.8387499999999999,6.6458759133885
MENTAL,2.4037051282051287,6.7772417853271
MIXED,2.2921428571428573,7.437458205459
STUDENT,1.9526451612903228,7.6017017168414
WORKING_STUDENT_MENTAL,2.13585393258427,7.7144280328697
WORKING_STUDENT_PHYSICAL,1.8064,7.1743884449386
BURNT_OUT,1.7938823529411767,6.438620439134
MENTAL,2.3324078947368414,7.206628549656
MIXED,2.167,7.670698126948
STUDENT,2.088511363636364,7.6670584337466
WORKING_STUDENT_MENTAL,2.241636363636364,7.1703752989212
WORKING_STUDENT_PHYSICAL,1.6980000000000002,6.9364413658876
BURNT_OUT,1.674263157894737,7.631065955457
MENTAL,2.3541111111111115,5.2549452827418
MIXED,2.435,6.7286954242911
STUDENT,2.089326530612244,6.0454252904013
WORKING_STUDENT_MENTAL,2.2860190476190465,7.0986077870331
WORKING_STUDENT_PHYSICAL,2.0476666666666667,7.2274554206878
